,id,retweet_count,favorite_count
557,802239329049477120,2936,9906
558,802185808107208704,303,0
559,801958328846974976,1927,8434
560,801854953262350336,263,1920
561,801538201127157760,2322,8949
562,801285448605831168,936,6626
563,801167903437357056,6723,26811
564,801127390143516673,4489,0
565,801115127852503040,2356,8819
566,800859414831898624,108,755
567,800855607700029440,1837,0
568,800751577355128832,3123,11460
569,800513324630806528,3393,14373
570,800459316964663297,2423,10323
571,800443802682937345,4889,0
572,800388270626521089,3154,12192
573,800188575492947969,4443,0
574,800141422401830912,2894,16718
575,800018252395122689,14886,31056
576,799774291445383169,5302,0
577,799757965289017345,2439,9186
578,799422933579902976,2155,8789
579,799308762079035393,6259,0
580,799297110730567681,3134,10841
581,799063482566066176,2779,8842
582,798933969379225600,5060,14400
583,798925684722855936,1619,8106
584,798705661114773508,7479,0
585,798701998996647937,8831,0
586,798697898615730177,7351,0
587,798694562394996736,5621,0
588,798686750113755136,2620,0
589,798682547630837760,5348,0
590,798673117451325440,6271,0
591,798665375516884993,4390,0
592,798644042770751489,2089,0
593,798628517273620480,2215,0
594,798585098161549313,6454,0
595,798576900688019456,6656,0
596,798340744599797760,3799,0
597,798209839306514432,2875,11339
598,797971864723324932,3551,12744
599,797545162159308800,5467,15878
600,797236660651966464,7480,21873
601,797165961484890113,32,251
602,796904159865868288,10067,0
